i_in,x,y
153,-1.0763692809308978,5.01367649389922
154,-1.518829744599977,2.4554438940437224
155,-1.1927875271482316,3.7478804997211634
156,-1.2130064353571488,2.150192578694563
157,-0.9450477669057941,3.476183949304665
158,-0.6642432438977384,4.592558267585197
159,-0.3809044266096697,5.530244257203327
160,1.6056040560083822,1.668223470810284
161,1.4314923864395361,2.9537657879484063
162,1.334919159991542,4.053441224298564
163,-0.7869108863193182,2.7987884761437387
164,-0.5569227143256709,4.01044664017495
165,-0.31296644156982223,5.031156552721734
166,-0.06477521322547952,5.889001727476266
167,0.18050113785739308,6.608242476883845
168,0.41775566625413796,7.209786059836972
169,0.6434837587094961,7.711607924211261
170,0.8554255118715222,8.129127385231191
171,-1.9424880177858055,3.5851558924813123
172,-1.5077085794186822,4.725082029320548
173,-1.0925490113330578,5.676628068099214
174,-0.7016015369091305,6.468835818337654
175,-0.3376078736392548,7.126574507063371
176,-0.001903712310831751,7.671092645949436
177,0.3052255503737704,8.120504897549454
178,0.584261913719683,8.490220140902084
179,0.8362314322978139,8.793316643217985
180,1.0625293831818612,9.040869889443375
181,1.264784771282317,9.242238230699595
182,1.4447565848179533,9.405311105243364
183,1.6042555413049948,9.53672417606414
184,1.7450861771518111,9.64204532800232
185,1.8690050636991322,9.725935081715898
186,1.9776917074128983,9.792284616910548
187,2.0727293359773853,9.844334256077449
188,-2.1449810393846596,4.242481283611838
189,-1.653534632132487,5.291908332645448
190,-1.193828104006796,6.16426346803393
191,-0.7681833496844193,6.887377071989112
192,-0.3774607643521919,7.484997845178123
193,-0.021441735892238134,7.977346598975492
194,0,1.2763754558360787
195,0.05105501823344315,2.6849191374606667
196,0.15079353099685333,3.880139066112229
197,0.2833800639918145,4.89208646495552
198,0.4365565129912631,5.746938292652519
199,0.6009505677486744,6.4674352882349915
200,0.7695053941157728,7.073281972289795
201,0.9370108638899988,7.581509460681694
202,1.0997196127337667,8.00680260702384
203,1.2550337751046552,8.361793431460914
204,1.4012504460973934,8.657323065737591
205,2.213862891491917,2.882082651762344
206,1.9970667638386232,3.961215738338316
207,1.8559553787963623,4.887150707034023
208,1.7730481002582688,5.6798398858270644
209,1.3243979529928378,2.264154078665645
210,0.43530344907745505,1.3277404466578926
211,0.4231175495821525,2.711167241696111
212,0.468096606812674,3.887567453458408
213,0.5533848139291092,4.88570847116714
214,0.6658054306864284,5.730716807934906
215,0.7951632884008604,6.444477069517212
216,0.9336678779214198,7.045998977553596
217,1.0754576553353505,7.5517524158036995
218,1.2162091036671958,7.97597124721973
219,1.3528165880059058,8.330927195990084
220,2.129737126676338,2.7911548399191557
221,0,0.4465847743870649
222,0.017863390975482597,1.9795970582290052
223,0.09436776465832042,3.281942963855635
224,-0.8344316176708011,2.3437320379196533
225,-0.6155175935033947,3.6255494969385373
226,1.1074814981682999,1.1500973049543664
227,0.9873631656412296,2.5332834492844793
228,0.9405900287664243,3.7137964052661583
229,-0.7774690596159163,2.6333709157748326
230,-0.5555138640425356,3.8694640407932446
231,-0.3174082228044254,4.91126498923596
232,-0.07334638981432318,5.787271569762742
233,0.16914643144833502,6.522114689890904
234,0.4046590543267209,7.137031629149334
235,-1.7746964127134826,3.2632185409079995
236,-1.3779632091701401,4.4447236162803385
237,-0.9934797831434055,5.433133602205094
238,-0.6271324715836908,6.2579027532000655
239,-0.28274649071813446,6.9443026390834035
240,0.03743758845292186,7.513967102849618
241,0.3323806342989683,7.985374533884059
242,0.6019385205094854,8.374273128429492
243,0.8466186675702423,8.694054618344689
244,1.0673880521684935,8.956081678890175
245,1.2655231114988266,9.16997390496991
246,1.4424936009727989,9.34385689476447
247,1.5998738366174579,9.484578616510888
248,1.7392759057852745,9.597896870569555
249,1.8623003947402654,9.68864130375271
250,1.970500987679334,9.760853092400193
251,2.0653599632234414,9.81790508903299
252,2.148272172301245,9.862604927149103
253,2.220535543542022,9.897283301184688
254,2.283346544058106,9.923869384265304
255,-2.123536731097358,4.308420969671731
256,-1.6326693826458847,5.347099293464866
